Time	EEG_Fp1	EEG_Fp2	PPG
오후 1:49:25.816 	0.000088	0.000033	0.000913
오후 1:49:25.816 	0.000068	0.000016	0.000912
오후 1:49:25.823 	0.000050	0.000034	0.000913
오후 1:49:25.823 	0.000046	0.000027	0.000912
오후 1:49:25.843 	0.000075	0.000037	0.000913
오후 1:49:25.843 	0.000061	0.000047	0.000912
오후 1:49:25.875 	0.000050	0.000017	0.000912
오후 1:49:25.875 	0.000051	0.000035	0.000912
오후 1:49:25.877 	0.000078	0.000058	0.000912
오후 1:49:25.877 	0.000053	0.000034	0.000912
오후 1:49:25.883 	0.000063	0.000023	0.000912
오후 1:49:25.883 	0.000075	0.000038	0.000912
오후 1:49:25.904 	0.000078	0.000048	0.000912
오후 1:49:25.904 	0.000101	0.000060	0.000912
오후 1:49:25.906 	0.000129	0.000084	0.000912
오후 1:49:25.906 	0.000150	0.000093	0.000912
오후 1:49:25.909 	0.000187	0.000136	0.000912
오후 1:49:25.909 	0.000226	0.000176	0.000912
오후 1:49:25.921 	0.000227	0.000201	0.000912
오후 1:49:25.921 	0.000244	0.000214	0.000912
오후 1:49:25.938 	0.000271	0.000234	0.000912
오후 1:49:25.938 	0.000302	0.000257	0.000912
오후 1:49:25.967 	0.000302	0.000260	0.000912
오후 1:49:25.967 	0.000321	0.000280	0.000912
오후 1:49:25.970 	0.000349	0.000304	0.000912
오후 1:49:25.970 	0.000288	0.000252	0.000912
오후 1:49:25.972 	0.000300	0.000270	0.000912
오후 1:49:25.972 	0.000315	0.000282	0.000912
오후 1:49:25.974 	0.000325	0.000281	0.000912
오후 1:49:25.974 	0.000306	0.000269	0.000912
오후 1:49:25.977 	0.000291	0.000286	0.000912
오후 1:49:25.977 	0.000297	0.000299	0.000912
오후 1:49:25.984 	0.000264	0.000261	0.000912
오후 1:49:25.984 	0.000279	0.000274	0.000912
오후 1:49:26.001 	0.000265	0.000252	0.000912
오후 1:49:26.001 	0.000231	0.000218	0.000912
오후 1:49:26.030 	0.000194	0.000181	0.000912
오후 1:49:26.030 	0.000175	0.000179	0.000912
오후 1:49:26.035 	0.000207	0.000191	0.000912
오후 1:49:26.035 	0.000174	0.000174	0.000912
오후 1:49:26.061 	0.000156	0.000147	0.000912
오후 1:49:26.061 	0.000153	0.000141	0.000912
오후 1:49:26.097 	0.000143	0.000141	0.000912
오후 1:49:26.097 	0.000138	0.000148	0.000912
오후 1:49:26.134 	0.000107	0.000101	0.000912
오후 1:49:26.134 	0.000089	0.000087	0.000912
오후 1:49:26.143 	0.000097	0.000093	0.000912
오후 1:49:26.143 	0.000110	0.000099	0.000912
오후 1:49:26.161 	0.000100	0.000093	0.000912
오후 1:49:26.161 	0.000091	0.000068	0.000912
오후 1:49:26.163 	0.000100	0.000084	0.000912
오후 1:49:26.163 	0.000099	0.000076	0.000912
오후 1:49:26.165 	0.000074	0.000063	0.000912
